cou,ZEUR,ZASI,NAFTA,ZOTH,ZSCA,farben
AUT,1,0,0,0,0,grey
BEL,1,0,0,0,0,grey
CZE,1,0,0,0,0,grey
DNK,1,0,0,0,0,grey
EST,1,0,0,0,0,grey
FIN,1,0,0,0,0,grey
FRA,1,0,0,0,0,grey
DEU,1,0,0,0,0,green
GRC,1,0,0,0,0,grey
HUN,1,0,0,0,0,grey
ISL,1,0,0,0,0,grey
IRL,1,0,0,0,0,grey
ITA,1,0,0,0,0,grey
LUX,1,0,0,0,0,grey
NLD,1,0,0,0,0,grey
NOR,1,0,0,0,0,grey
POL,1,0,0,0,0,grey
PRT,1,0,0,0,0,grey
SVK,1,0,0,0,0,grey
SVN,1,0,0,0,0,grey
ESP,1,0,0,0,0,grey
SWE,1,0,0,0,0,grey
CHE,1,0,0,0,0,grey
GBR,1,0,0,0,0,grey
CAN,0,0,1,0,0,grey
MEX,0,0,1,0,0,grey
USA,0,0,1,0,0,blue
JPN,0,1,0,0,0,yellow
KOR,0,1,0,0,0,grey
AUS,0,0,0,1,0,grey
ISR,0,0,0,1,0,grey
NZL,0,0,0,1,0,grey
TUR,0,0,0,1,0,grey
CHL,0,0,0,0,1,grey
BRA,0,0,0,0,1,grey
RUS,1,0,0,0,0,grey
IDN,0,1,0,0,0,grey
IND,0,0,0,1,0,grey
CHN,0,1,0,0,0,red
ZAF,0,0,0,1,0,grey
ARG,0,0,0,0,0,grey
BLR,0,0,0,0,0,grey
COL,0,0,0,0,0,grey
HKG,0,0,0,0,0,grey
KAZ,0,0,0,0,0,grey
MYS,0,0,0,0,0,grey
NGA,0,0,0,0,0,grey
PAK,0,0,0,0,0,grey
PHL,0,0,0,0,0,grey
ROU,0,0,0,0,0,grey
SAU,0,0,0,0,0,grey
SGP,0,0,0,0,0,grey
THA,0,0,0,0,0,grey
TWN,0,0,0,0,0,grey
VEN,0,0,0,0,0,grey
VNM,0,0,0,0,0,grey
